id,Fattening_group.Pen,age,weight,dfi,cfi
3,202004-93,15,61.0,2.254,72.57822098129533
3,202004-93,16,62.5,2.224,74.80222098129533
3,202004-93,17,64.0,2.293,77.09522098129534
3,202004-93,18,64.75,2.634,79.72922098129534
3,202004-93,19,66.5,2.529,82.25822098129534
3,202004-93,20,67.0,2.234,84.49222098129533
3,202004-93,21,68.75,2.815,87.30722098129533
3,202004-93,22,69.5,2.456,89.76322098129533
3,202004-93,23,70.75,2.54,92.30322098129534
3,202004-93,24,71.0,2.672,94.97522098129534
3,202004-93,25,72.25,2.467,97.44222098129534
3,202004-93,26,73.165,1.626,99.06822098129534
3,202004-93,27,74.5,3.324,102.39222098129534
3,202004-93,28,74.5,2.017,104.40922098129533
3,202004-93,29,76.25,2.585,106.99422098129533
3,202004-93,30,76.0,2.542,109.53622098129533
3,202004-93,31,78.0,2.108,111.64422098129533
3,202004-93,32,79.5,2.771,114.41522098129533
3,202004-93,33,80.5,2.082,116.49722098129533
3,202004-93,34,82.5,2.86,119.35722098129533
3,202004-93,35,83.5,1.914,121.27122098129533
3,202004-93,36,84.0,3.495,124.76622098129533
3,202004-93,37,86.0,1.792,126.55822098129534
3,202004-93,38,85.5,2.857,129.41522098129533
3,202004-93,39,87.5,2.528,131.94322098129533
3,202004-93,40,88.341,1.889,133.83222098129534
3,202004-93,41,89.0,2.588,136.42022098129533
3,202004-93,42,90.5,2.886,139.30622098129533
3,202004-93,43,91.523,2.168,141.47422098129533
3,202004-93,44,92.25,2.696,144.17022098129533
3,202004-93,45,94.0,2.554,146.72422098129533
3,202004-93,46,95.0,2.566,149.29022098129533
3,202004-93,47,95.5,2.95,152.24022098129532
3,202004-93,48,97.0,2.632,154.87222098129533
3,202004-93,49,99.0,2.641,157.51322098129532
3,202004-93,50,98.128,1.672,159.18522098129532
3,202004-93,51,98.75,1.685,160.87022098129532
3,202004-93,52,98.5,1.69,162.56022098129532
3,202004-93,53,99.75,3.314,165.8742209812953
3,202004-93,54,101.0,2.405,168.2792209812953
3,202004-93,55,103.5,2.799,171.07822098129532
3,202004-93,56,102.75,2.366,173.44422098129533
3,202004-93,57,103.5,2.083,175.52722098129533
3,202004-93,58,103.5,1.73,177.25722098129532
3,202004-93,59,104.648,1.998,179.2552209812953
3,202004-93,60,104.5,2.55,181.80522098129532
3,202004-93,61,106.5,2.863,184.66822098129532
3,202004-93,62,108.0,1.686,186.35422098129533
3,202004-93,63,107.25,2.898,189.25222098129532
3,202004-93,64,107.0,1.629,190.88122098129531
3,202004-93,65,106.875,2.133,193.01422098129532
3,202004-93,66,107.5,1.197,194.21122098129533
3,202004-93,67,107.5,1.394,195.60522098129533
3,202004-93,68,108.0,2.127,197.73222098129534
3,202004-93,69,108.5,1.051,198.78322098129533
3,202004-93,70,108.5,1.582,200.36522098129532
3,202004-93,71,109.0,1.584,201.94922098129533
3,202004-93,72,110.5,1.598,203.54722098129534
3,202004-93,73,110.527,1.667,205.21422098129534
3,202004-93,74,111.024,1.687,206.90122098129535
3,202004-93,75,111.521,1.707,208.60822098129535
3,202004-93,76,112.75,1.788,210.39622098129536
3,202004-93,77,112.0,1.903,212.29922098129535
100,202004-93,1,35.0,0.904,34.104771460756446
100,202004-93,2,41.75,1.014,35.11877146075645
100,202004-93,3,38.5,1.228,36.34677146075645
100,202004-93,4,39.0,1.403,37.74977146075645
100,202004-93,5,40.5,1.817,39.56677146075645
100,202004-93,6,41.5,1.572,41.13877146075645
100,202004-93,7,42.5,1.71,42.84877146075645
100,202004-93,8,43.5,1.613,44.46177146075645
100,202004-93,9,44.0,1.736,46.19777146075645
100,202004-93,10,44.25,1.782,47.97977146075645
100,202004-93,11,45.5,1.883,49.862771460756456
100,202004-93,12,46.0,1.721,51.58377146075645
100,202004-93,13,47.5,1.843,53.426771460756456
100,202004-93,14,48.5,1.723,55.149771460756455
